date,Exports Billions of US $,% of GDP,Change
1960-12-31,1.6527016527017,4.4632,
1961-12-31,1.6884016884017,4.3036,-0.1859
1962-12-31,1.7577017577018,4.169,-0.5798
1963-12-31,2.0727020727021,4.2805,8.4041
1964-12-31,2.1042021042021,3.7256,-6.512
1965-12-31,1.9697606047879,3.3075,-13.8642
1966-12-31,1.9,4.1426,25.8404
1967-12-31,2.0226666666667,4.0344,4.9561
1968-12-31,2.144,4.0388,3.138
1969-12-31,2.1706666666667,3.7138,-1.938
1970-12-31,2.3613333333333,3.7828,31.5578
1971-12-31,2.4698989464631,3.6672,1.052
1972-12-31,2.8781724575065,4.0275,8.2379
1973-12-31,3.599135190131,4.2088,4.9635
1974-12-31,4.8084156677868,4.8313,8.1998
1975-12-31,5.560820024499,5.6471,16.4488
1976-12-31,6.8681964131882,6.6865,19.8188
1977-12-31,7.7547445255475,6.3832,-3.5674
1978-12-31,8.6702736954985,6.3148,7.803
1979-12-31,10.326383041949,6.7496,11.1542
1980-12-31,11.439539833773,6.1396,5.2373
1981-12-31,11.485654131297,5.936,-0.8169
1982-12-31,12.00938898871,5.9833,6.0205
1983-12-31,12.741342694504,5.8376,-0.9149
1984-12-31,13.330753440792,6.2834,7.2979
1985-12-31,12.217464494092,5.2546,-6.3149
1986-12-31,12.9378641536,5.1962,5.4324
1987-12-31,15.638662913984,5.6046,12.7273
1988-12-31,17.899797605808,6.0352,7.4731
1989-12-31,20.77071730363,7.0161,11.9791
1990-12-31,22.639774911553,7.0534,11.1044
1991-12-31,22.943398073299,8.4942,9.6623
1992-12-31,25.486060890604,8.8429,4.8932
1993-12-31,27.466578243417,9.8342,13.7796
1994-12-31,32.361287610239,9.8881,13.0437
1995-12-31,39.068859788059,10.844,31.3961
1996-12-31,40.803024157202,10.3852,6.2897
1997-12-31,44.459245982728,10.6907,-2.3282
1998-12-31,46.426482685166,11.0185,13.8843
1999-12-31,52.544410650248,11.4521,17.9995
2000-12-31,60.878396865526,12.9972,18.1535
2001-12-31,60.96352550447,12.5584,4.3095
2002-12-31,73.452725999409,14.2644,21.085
2003-12-31,90.838365703716,14.9479,9.5822
2004-12-31,126.64771943256,17.8591,27.1764
2005-12-31,160.8378356402,19.6052,26.0851
2006-12-31,199.97392236378,21.2679,20.3938
2007-12-31,253.07731857618,20.7997,5.8665
2008-12-31,288.9021516037,24.0974,14.7781
2009-12-31,273.75183638713,20.4005,-4.8342
2010-12-31,375.35347283494,22.4009,19.4781
2011-12-31,447.38395083626,24.5404,15.493
2012-12-31,448.40054329147,24.5344,6.8055
2013-12-31,472.1804274279,25.4309,7.7924
2014-12-31,468.34603755422,22.968,1.7776
2015-12-31,416.78783262179,19.8132,-5.6471
2016-12-31,439.64278782941,19.1582,4.9843
2017-12-31,498.25856086057,18.7827,4.5553
2018-12-31,538.63520154137,19.8527,12.3287
2019-12-31,536.55815602659,18.662,-1.9149
