Date,Export_Price_index,Import_Price_Index,Consumer_Price_Index,Employees,Industrial_Production,Material_Supply_Textile,Retail_Sales
1993-01-01,95.9,96.4,132.8,1257.2,194.9029,1401,10581
1993-02-01,96.4,96.4,134,1266.3,192.5071,1439,10150
1993-03-01,97.5,96.5,134,1258.1,187.7851,1336,9916
1993-04-01,98.5,96.8,134,1259.5,193.1045,1323,10257
1993-05-01,98,96.7,133.5,1263.7,195.77,1307,10386
1993-06-01,97.2,97.2,133,1262.8,194.3909,1310,10411
1993-07-01,96.6,97.2,132.8,1258.1,197.0024,1300,10593
1993-08-01,96,97.2,134,1261.4,195.3997,1302,10406
1993-09-01,96.2,97.1,133.7,1257.3,195.1107,1275,10549
1993-10-01,96.3,97.1,133.8,1254,197.9162,1306,10449
1993-11-01,96,97.1,134.4,1251.4,196.5809,1320,10475
1993-12-01,96.6,97.1,134.1,1262.1,197.0446,1340,10442
1994-01-01,98.6,96.5,133.3,1250.7,200.3126,1320,10450
1994-02-01,103.1,96.5,133.2,1253.7,196.7678,1359,10587
1994-03-01,103.5,96.5,133.8,1260.2,199.598,1388,10806
1994-04-01,104.4,96.7,133.5,1255.1,204.4664,1387,10554
1994-05-01,106,96.9,134,1255.5,202.9114,1419,10451
1994-06-01,106.3,96.9,134.8,1256.2,204.7425,1429,10612
1994-07-01,105.2,98.3,134.2,1263.4,206.1584,1446,10672
1994-08-01,105.1,98,133.2,1262.8,206.6827,1451,10839
1994-09-01,104.8,97.5,133.6,1271.3,207.7878,1468,10674
1994-10-01,104.5,97.6,133,1272,211.0251,1491,11000
1994-11-01,106.1,97.4,132.5,1266,210.2345,1514,10983
1994-12-01,108.9,97.5,132.1,1264.6,211.6991,1510,10952
1995-01-01,111.1,97.2,132.2,1266.6,212.7136,1508,10939
1995-02-01,114.2,97.4,131.9,1270.9,211.4524,1484,10582
1995-03-01,118.6,98.1,132.2,1261.1,209.4929,1516,10850
1995-04-01,118.7,97.7,131.9,1258.5,207.513,1539,10796
1995-05-01,119.8,99.3,131.6,1251,202.9571,1539,10976
1995-06-01,120.6,98.8,131.3,1249.7,200.376,1548,10948
1995-07-01,119.4,98.6,131.4,1245.6,199.3684,1550,10824
1995-08-01,113.9,98.5,132.5,1243.5,200.8184,1557,10813
1995-09-01,115.9,98.6,132.3,1231.5,201.4674,1574,11198
1995-10-01,115.9,98.6,132.4,1223.7,196.5664,1569,10882
1995-11-01,115.3,98.9,132,1229.5,196.3002,1607,11269
1995-12-01,116.3,99.1,132.2,1224.6,196.424,1600,11124
1996-01-01,115.9,100,132.7,1219.9,189.6183,1613,11105
1996-02-01,114.6,100,132.2,1220.7,193.4335,1572,11341
1996-03-01,113.3,100,132.6,1221.3,198.5114,1528,11376
1996-04-01,113.9,99.9,131.8,1216.7,194.6671,1502,11422
1996-05-01,114,100.1,131.8,1219.9,197.4871,1522,11504
1996-06-01,112.9,100.5,131.6,1220,202.3826,1518,11365
1996-07-01,109.9,100.1,131.3,1218.6,196.5399,1521,11316
1996-08-01,109.4,99.4,130.6,1216.3,198.6093,1530,11360
1996-09-01,110.5,99.9,131.3,1220,199.5574,1482,11534
1996-10-01,109.6,100,131.3,1221.6,199.6949,1552,11577
1996-11-01,108.1,99.9,131.6,1225,202.2239,1524,11318
1996-12-01,108.7,99.7,131.9,1226.4,204.5408,1528,11435
1997-01-01,108.8,99.2,132.3,1225,201.5668,1552,11513
1997-02-01,108.7,98.9,133,1223,204.0978,1593,11468
1997-03-01,109,99.2,132.4,1224,207.9067,1610,11623
1997-04-01,109.3,99.9,133,1227.1,206.1184,1629,11195
1997-05-01,109,99.7,133.3,1227,207.1506,1621,11413
1997-06-01,109.1,99.7,133.1,1230.4,209.8861,1619,11643
1997-07-01,109.2,99.1,133.3,1229.9,209.8253,1626,11735
1997-08-01,109.6,99.3,132.7,1236,210.3,1618,11828
1997-09-01,110,99.4,132.9,1244.1,212.0756,1625,11845
1997-10-01,109.8,99.9,132.7,1252.6,210.2262,1600,11881
1997-11-01,109,99.9,132.7,1255.6,215.873,1567,11936
1997-12-01,108.8,99.9,133,1260.6,214.3114,1597,12110
1998-01-01,108.2,100.2,133.1,1266,215.0826,1579,12154
1998-02-01,108.1,100.3,133,1263,210.2754,1587,12199
1998-03-01,108.1,100.3,132.7,1260.8,208.1731,1571,12164
1998-04-01,107.3,100.3,132.3,1268.1,205.7894,1583,12459
1998-05-01,107.4,100.2,132.7,1268.6,208.5904,1583,12304
