,Date,Sold_Units,Retail_Sales (in USD)
0,2019-09-30,11424.0,1713600.0
1,2019-10-01,10810.0,1621500.0
2,2019-10-02,9371.0,1405650.0
3,2019-10-03,9478.0,1421700.0
4,2019-10-04,9506.0,1425900.0
5,2019-10-05,4150.0,622500.0
6,2019-10-06,2219.0,332850.0
7,2019-10-07,11953.0,1792950.0
8,2019-10-08,11957.0,1793550.0
9,2019-10-09,9248.0,1387200.0
10,2019-10-10,9252.0,1387800.0
11,2019-10-11,9268.0,1390200.0
12,2019-10-12,4217.0,632550.0
13,2019-10-13,2255.0,338250.0
14,2019-10-14,11293.0,1693950.0
15,2019-10-15,11195.0,1679250.0
16,2019-10-16,9195.0,1379250.0
17,2019-10-17,9162.0,1374300.0
18,2019-10-18,9113.0,1366950.0
19,2019-10-19,4084.0,612600.0
20,2019-10-20,2192.0,328800.0
21,2019-10-21,11326.0,1698900.0
22,2019-10-22,11238.0,1685700.0
23,2019-10-23,9055.0,1358250.0
24,2019-10-24,9001.0,1350150.0
25,2019-10-25,9053.0,1357950.0
26,2019-10-26,4246.0,636900.0
27,2019-10-27,2771.0,415650.0
28,2019-10-28,11415.0,1712250.0
29,2019-10-29,11270.0,1690500.0
30,2019-10-30,9676.0,1451400.0
31,2019-10-31,9561.0,1434150.0
32,2019-11-01,9432.0,1414800.0
33,2019-11-02,4534.0,680100.0
34,2019-11-03,3745.0,561750.0
35,2019-11-04,12091.0,1813650.0
36,2019-11-05,12088.0,1813200.0
37,2019-11-06,9289.0,1393350.0
38,2019-11-07,9435.0,1415250.0
39,2019-11-08,9264.0,1389600.0
40,2019-11-09,4184.0,627600.0
41,2019-11-10,2423.0,363450.0
42,2019-11-11,11741.0,1761150.0
43,2019-11-12,11587.0,1738050.0
44,2019-11-13,9216.0,1382400.0
45,2019-11-14,9186.0,1377900.0
46,2019-11-15,9158.0,1373700.0
47,2019-11-16,4128.0,619200.0
48,2019-11-17,2179.0,326850.0
49,2019-11-18,11263.0,1689450.0
50,2019-11-19,11106.0,1665900.0
51,2019-11-20,9124.0,1368600.0
52,2019-11-21,9080.0,1362000.0
53,2019-11-22,8998.0,1349700.0
54,2019-11-23,4158.0,623700.0
55,2019-11-24,2999.0,449850.0
56,2019-11-25,11466.0,1719900.0
57,2019-11-26,11305.0,1695750.0
58,2019-11-27,9748.0,1462200.0
59,2019-11-28,9816.0,1472400.0
60,2019-11-29,9843.0,1476450.0
61,2019-11-30,4587.0,688050.0
62,2019-12-01,3538.0,530700.0
63,2019-12-02,12021.0,1803150.0
64,2019-12-03,11990.0,1798500.0
65,2019-12-04,9306.0,1395900.0
66,2019-12-05,9436.0,1415400.0
67,2019-12-06,9439.0,1415850.0
68,2019-12-07,4106.0,615900.0
69,2019-12-08,2161.0,324150.0
70,2019-12-09,11851.0,1777650.0
71,2019-12-10,11710.0,1756500.0
72,2019-12-11,8952.0,1342800.0
73,2019-12-12,8976.0,1346400.0
74,2019-12-13,8904.0,1335600.0
75,2019-12-14,4155.0,623250.0
76,2019-12-15,2303.0,345450.0
77,2019-12-16,10932.0,1639800.0
78,2019-12-17,10710.0,1606500.0
79,2019-12-18,7505.0,1125750.0
80,2019-12-19,7489.0,1123350.0
81,2019-12-20,7544.0,1131600.0
82,2019-12-21,4084.0,612600.0
83,2019-12-22,3023.0,453450.0
84,2019-12-23,10980.0,1647000.0
85,2019-12-24,10838.0,1625700.0
86,2019-12-25,6944.0,1041600.0
87,2019-12-26,7315.0,1097250.0
88,2019-12-27,8565.0,1284750.0
89,2019-12-28,4314.0,647100.0
90,2019-12-29,3181.0,477150.0
91,2019-12-30,8823.0,1323450.0
92,2019-12-31,8627.0,1294050.0
93,2020-01-01,8663.0,1299450.0
94,2020-01-02,9333.0,1399950.0
95,2020-01-03,9245.0,1386750.0
96,2020-01-04,4094.0,614100.0
97,2020-01-05,2252.0,337800.0
98,2020-01-06,9683.0,1452450.0
99,2020-01-07,9492.0,1423800.0
100,2020-01-08,8471.0,1270650.0
101,2020-01-09,8444.0,1266600.0
102,2020-01-10,8425.0,1263750.0
103,2020-01-11,3978.0,596700.0
104,2020-01-12,2195.0,329250.0
105,2020-01-13,9576.0,1436400.0
106,2020-01-14,9286.0,1392900.0
107,2020-01-15,8132.0,1219800.0
108,2020-01-16,7981.0,1197150.0
109,2020-01-17,7931.0,1189650.0
110,2020-01-18,3953.0,592950.0
111,2020-01-19,2254.0,338100.0
112,2020-01-20,8924.0,1338600.0
113,2020-01-21,8769.0,1315350.0
114,2020-01-22,7935.0,1190250.0
115,2020-01-23,7803.0,1170450.0
116,2020-01-24,7864.0,1179600.0
117,2020-01-25,3952.0,592800.0
118,2020-01-26,2394.0,359100.0
119,2020-01-27,9273.0,1390950.0
120,2020-01-28,9145.0,1371750.0
121,2020-01-29,9139.0,1370850.0
122,2020-01-30,8365.0,1254750.0
123,2020-01-31,8473.0,1270950.0
124,2020-02-01,4534.0,680100.0
125,2020-02-02,2586.0,387900.0
126,2020-02-03,10273.0,1540950.0
127,2020-02-04,10097.0,1514550.0
128,2020-02-05,8757.0,1313550.0
129,2020-02-06,9117.0,1367550.0
130,2020-02-07,8960.0,1344000.0
131,2020-02-08,3969.0,595350.0
132,2020-02-09,2322.0,348300.0
133,2020-02-10,10004.0,1500600.0
134,2020-02-11,10000.0,1500000.0
135,2020-02-12,8050.0,1207500.0
136,2020-02-13,7908.0,1186200.0
137,2020-02-14,8040.0,1206000.0
138,2020-02-15,4164.0,624600.0
139,2020-02-16,2764.0,414600.0
140,2020-02-17,9339.0,1400850.0
141,2020-02-18,9247.0,1387050.0
142,2020-02-19,7619.0,1142850.0
143,2020-02-20,7620.0,1143000.0
144,2020-02-21,7662.0,1149300.0
145,2020-02-22,3857.0,578550.0
146,2020-02-23,2710.0,406500.0
147,2020-02-24,9622.0,1443300.0
148,2020-02-25,9552.0,1432800.0
149,2020-02-26,8187.0,1228050.0
150,2020-02-27,8878.0,1331700.0
151,2020-02-28,8977.0,1346550.0
152,2020-02-29,4295.0,644250.0
153,2020-03-01,3113.0,466950.0
154,2020-03-02,10400.0,1560000.0
155,2020-03-03,10270.0,1540500.0
156,2020-03-04,8635.0,1295250.0
157,2020-03-05,9016.0,1352400.0
158,2020-03-06,9122.0,1368300.0
159,2020-03-07,4078.0,611700.0
160,2020-03-08,2799.0,419850.0
161,2020-03-09,10364.0,1554600.0
162,2020-03-10,10013.0,1501950.0
163,2020-03-11,8083.0,1212450.0
164,2020-03-12,8139.0,1220850.0
165,2020-03-13,8179.0,1226850.0
166,2020-03-14,4268.0,640200.0
167,2020-03-15,2515.0,377250.0
168,2020-03-16,9539.0,1430850.0
169,2020-03-17,9419.0,1412850.0
170,2020-03-18,7643.0,1146450.0
171,2020-03-19,7411.0,1111650.0
172,2020-03-20,7533.0,1129950.0
173,2020-03-21,3700.0,555000.0
174,2020-03-22,2127.0,319050.0
175,2020-03-23,9589.0,1438350.0
176,2020-03-24,9615.0,1442250.0
177,2020-03-25,7781.0,1167150.0
178,2020-03-26,7922.0,1188300.0
179,2020-03-27,8685.0,1302750.0
180,2020-03-28,4105.0,615750.0
181,2020-03-29,2167.0,325050.0
182,2020-03-30,9616.0,1442400.0
183,2020-03-31,9502.0,1425300.0
184,2020-04-01,8332.0,1249800.0
185,2020-04-02,9136.0,1370400.0
186,2020-04-03,9061.0,1359150.0
187,2020-04-04,3980.0,597000.0
188,2020-04-05,2467.0,370050.0
