,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2013-10-01,708324.9149507773,685642.5521559491,749415.8003783019,708324.9149507773,708324.9149507773,9111.714165015448,9111.714165015448,9111.714165015448,9111.714165015448,9111.714165015448,9111.714165015448,0.0,0.0,0.0,717436.6291157928
1,2013-11-01,717443.1145420348,679742.3446885771,739357.8317605718,717443.1145420348,717443.1145420348,-7189.226183059393,-7189.226183059393,-7189.226183059393,-7189.226183059393,-7189.226183059393,-7189.226183059393,0.0,0.0,0.0,710253.8883589754
2,2013-12-01,726267.1786626066,688533.6828229303,748566.186353437,726267.1786626066,726267.1786626066,-8058.497484778895,-8058.497484778895,-8058.497484778895,-8058.497484778895,-8058.497484778895,-8058.497484778895,0.0,0.0,0.0,718208.6811778278
3,2014-01-01,735385.3782538642,702346.9299509285,762441.7649449448,735385.3782538642,735385.3782538642,-2145.554734301772,-2145.554734301772,-2145.554734301772,-2145.554734301772,-2145.554734301772,-2145.554734301772,0.0,0.0,0.0,733239.8235195625
4,2014-02-01,744503.5778536925,708684.7296782978,769355.4377006289,744503.5778536925,744503.5778536925,-5104.611258231471,-5104.611258231471,-5104.611258231471,-5104.611258231471,-5104.611258231471,-5104.611258231471,0.0,0.0,0.0,739398.966595461
5,2014-03-01,752739.3710406341,717469.2061834391,777245.6909458456,752739.3710406341,752739.3710406341,-5121.006153711577,-5121.006153711577,-5121.006153711577,-5121.006153711577,-5121.006153711577,-5121.006153711577,0.0,0.0,0.0,747618.3648869225
6,2014-04-01,761857.5706450316,728152.3116851205,789165.8070307408,761857.5706450316,761857.5706450316,-1705.0893967741554,-1705.0893967741554,-1705.0893967741554,-1705.0893967741554,-1705.0893967741554,-1705.0893967741554,0.0,0.0,0.0,760152.4812482574
7,2014-05-01,770681.6347783196,737644.2531695346,799798.6906334854,770681.6347783196,770681.6347783196,-1447.3019448023929,-1447.3019448023929,-1447.3019448023929,-1447.3019448023929,-1447.3019448023929,-1447.3019448023929,0.0,0.0,0.0,769234.3328335172
8,2014-06-01,779799.8343827174,754793.3658859237,817876.1341285093,779799.8343827174,779799.8343827174,7406.600060740139,7406.600060740139,7406.600060740139,7406.600060740139,7406.600060740139,7406.600060740139,0.0,0.0,0.0,787206.4344434575
9,2014-07-01,788626.9879472442,764351.6978343297,824934.0332203144,788626.9879472442,788626.9879472442,3796.5402624684907,3796.5402624684907,3796.5402624684907,3796.5402624684907,3796.5402624684907,3796.5402624684907,0.0,0.0,0.0,792423.5282097127
10,2014-08-01,797748.3799639221,767920.9950057466,830482.8104920461,797748.3799639221,797748.3799639221,1519.811810644033,1519.811810644033,1519.811810644033,1519.811810644033,1519.811810644033,1519.811810644033,0.0,0.0,0.0,799268.1917745661
11,2014-09-01,806869.7719805997,788757.3386867046,850347.3860356879,806869.7719805997,806869.7719805997,11066.448132336549,11066.448132336549,11066.448132336549,11066.448132336549,11066.448132336549,11066.448132336549,0.0,0.0,0.0,817936.2201129363
